UIS,2020-11-05 00:00:00,13.51,1.917357512953368,2020-11-06 00:00:00,13.57,1.900626381724392,-0.2781631306201154
UIS,2020-11-06 00:00:00,13.57,1.900626381724392,2020-11-09 00:00:00,13.4,1.9490298507462687,-0.29621637674802215
UIS,2020-12-10 00:00:00,17.74,1.1119503945885005,2020-12-11 00:00:00,17.43,1.152008032128514,-0.14509348515879444
UIS,2020-12-29 00:00:00,19.53,0.9175627240143369,2020-12-30 00:00:00,19.45,0.9251156812339333,-0.09844743498455061
UIS,2021-01-14 00:00:00,24.01,0.6069970845481049,2021-01-15 00:00:00,24.01,0.6069970845481049,-0.05056202286947981
UIS,2021-01-15 00:00:00,24.01,0.6069970845481049,2021-01-19 00:00:00,24.45,0.5853374233128835,-0.03133421523785881
UIS,2021-01-19 00:00:00,24.45,0.5853374233128835,2021-01-20 00:00:00,24.1,0.6025518672199169,-0.06289935748600392
UIS,2021-06-07 00:00:00,27.84,0.45145474137931035,2021-06-08 00:00:00,28.15,0.4416341030195382,-0.02094428320398173
UIS,2021-06-08 00:00:00,28.15,0.4416341030195382,2021-06-09 00:00:00,27.13,0.4753962403243642,-0.06881102463033402
GS,2019-04-08 00:00:00,202.54,0.008519304828675817,2019-04-09 00:00:00,200.62,0.008688066992323797,-0.00956456685998316
GS,2019-09-13 00:00:00,219.9,0.007226011823556162,2019-09-16 00:00:00,217.22,0.007411840530337907,-0.0122539238397175
AFL,2019-09-05 00:00:00,51.13,0.1338255427342069,2019-09-06 00:00:00,51.57,0.13159782819468685,0.003414367867614015
AFL,2019-09-06 00:00:00,51.57,0.13159782819468685,2019-09-09 00:00:00,51.08,0.13409357870007832,-0.014653701898289104
AFL,2022-02-08 00:00:00,66.04,0.08023924894003634,2022-02-09 00:00:00,66.04,0.08023924894003634,-0.0024300196529385785
AFL,2022-02-09 00:00:00,66.04,0.08023924894003634,2022-02-10 00:00:00,65.55,0.08142639206712435,-0.009867741384118266
AFL,2022-03-22 00:00:00,64.46,0.08421501706484644,2022-03-23 00:00:00,63.74,0.08609978035770317,-0.013811895709316594
HNI,2019-02-20 00:00:00,41.69,0.20131926121372035,2019-02-21 00:00:00,41.64,0.2018131604226705,-0.010869091428073636
HNI,2019-10-24 00:00:00,38.56,0.23536047717842323,2019-10-25 00:00:00,38.65,0.23426908150064688,-0.00984516490350305
HNI,2019-10-25 00:00:00,38.65,0.23426908150064688,2019-10-28 00:00:00,38.64,0.23432971014492757,-0.012382892409976037
HNI,2021-05-10 00:00:00,44.53,0.176454075903885,2021-05-11 00:00:00,43.98,0.18088904047294224,-0.020375996325551968
HNI,2022-03-28 00:00:00,35.92,0.27117204899777286,2022-03-29 00:00:00,37.75,0.24560264900662251,0.036559724443084855
ASAN,2021-01-19 00:00:00,39.7,0.22198992443324936,2021-01-20 00:00:00,39.57,0.22351528936062673,-0.014496352992289215
ASAN,2021-02-08 00:00:00,40.0,0.21875,2021-02-09 00:00:00,38.87,0.23159248777977878,-0.03950856219449452
ASAN,2021-05-06 00:00:00,28.51,0.4305331462644686,2021-05-07 00:00:00,28.79,0.4222125738103508,-0.020089292180807575
ASAN,2021-05-25 00:00:00,35.86,0.27211377579475743,2021-05-26 00:00:00,36.1,0.2685595567867036,-0.008384643964904093
ASAN,2021-05-26 00:00:00,36.1,0.2685595567867036,2021-05-27 00:00:00,36.84,0.2578447339847991,0.0059167786489889105
ASAN,2021-05-27 00:00:00,36.84,0.2578447339847991,2021-05-28 00:00:00,36.78,0.25864600326264275,-0.015648499925283377
ASAN,2021-09-20 00:00:00,118.9,0.02475609756097561,2021-09-21 00:00:00,113.78,0.027008261557391458,-0.043496756594771945
RYAAY,2019-05-13 00:00:00,69.92,0.07158180778032036,2019-05-14 00:00:00,70.09,0.07120844628334998,0.0003891554052679104
RYAAY,2019-09-27 00:00:00,65.41,0.08176119859348724,2019-09-30 00:00:00,66.38,0.07940644772521845,0.012365576420750597
RYAAY,2019-09-30 00:00:00,66.38,0.07940644772521845,2019-10-01 00:00:00,66.36,0.07943037974683544,-0.0026941372020496232
RYAAY,2020-06-04 00:00:00,80.54,0.05392972436056617,2020-06-05 00:00:00,79.72,0.05505519317611641,-0.011534453905347594
CCS,2019-02-01 00:00:00,23.57,0.6299109036911328,2019-02-04 00:00:00,23.41,0.6385519008970526,-0.06060512535376266
SLMBP,2019-06-13 00:00:00,62.64,0.08917624521072798,2019-06-14 00:00:00,62.94,0.08830632348268191,0.0019558976900795584
SLMBP,2020-08-14 00:00:00,33.42,0.31334530221424295,2020-08-17 00:00:00,33.25,0.31652631578947366,-0.023933920347208874
SLMBP,2020-09-02 00:00:00,35.52,0.27737894144144143,2020-09-03 00:00:00,34.5,0.29400000000000004,-0.044802335063103625
SLMBP,2020-12-16 00:00:00,50.18,0.13893981666002392,2020-12-17 00:00:00,52.0,0.1294326923076923,0.030921233380475845
SLMBP,2020-12-17 00:00:00,52.0,0.1294326923076923,2020-12-18 00:00:00,52.5,0.12693333333333331,0.004685268737672525
SLMBP,2020-12-18 00:00:00,52.5,0.12693333333333331,2020-12-21 00:00:00,52.5,0.12693333333333331,-0.004835555555555564
SLMBP,2020-12-21 00:00:00,52.5,0.12693333333333331,2020-12-22 00:00:00,51.35,0.13270691333982473,-0.026850290412822022
SLMBP,2021-04-13 00:00:00,57.25,0.10674235807860262,2021-04-14 00:00:00,57.5,0.10585217391304348,0.0006533706202332185
SLMBP,2021-04-14 00:00:00,57.5,0.10585217391304348,2021-04-15 00:00:00,57.39,0.10623802056107337,-0.005601568599549815
