symbol,marketcap,outstanding_shares
AAPL,2809221504983,16319399936
ABBV,306060987310,1766279936
ABT,217560535496,1763480064
ACN,216477467972,633401024
ADBE,213910200000,472500000
ADP,100180730592,420044992
AMAT,108127548979,883395008
AMD,168789779200,1627360000
AMGN,140170775547,557028992
AMT,121142318924,455884992
AMZN,1605753922360,508844000
ANTM,124154519760,241236000
ASML,251747020595,402601984
AVGO,246213852226,408280992
AXP,138121945087,757289024
AZN,220053595692,3098909952
BA,105070822721,590385024
BABA,280225628337,2687500032
BAC,317674841702,8064860160
BHP,195785230950,2531160064
BLK,113862733380,152042000
BMY,164192952000,2125200000
BUD,101572916471,1737180032
CHTR,105796048220,191492992
CMCSA,213296690202,4523789824
COP,129553162798,1296050048
COST,269502353200,443224000
CRM,198158400000,990000000
CVS,136059617558,1313190016
CVX,325435596979,1947549952
DE,125615776640,306784000
DEO,121562274816,577492992
DHR,214525088508,715894976
DIS,240086480210,1820630016
EQNR,121205851894,3220989952
FB,514809400269,2309080064
GOOG,861473544534,315639008
GOOGL,817382938092,300755008
GS,106159136237,337924992
GSK,117514346281,2541949952
HD,312852762656,1033369984
HDB,115809148493,1848509952
HON,132092378317,685481984
HSBC,138796710851,4038309888
IBM,115221936000,896320000
INTC,194458567434,4088699904
INTU,139994768120,282812000
ISRG,104820287235,359195008
JNJ,477959725384,2629619968
JPM,387083860803,2952809984
KO,275011754435,4334989824
LIN,161488294706,507744992
LLY,293732387677,952347008
LMT,124074242340,266534000
LOW,134058725903,661561024
MA,338968780339,969729024
MCD,189138286705,743585024
MDT,150695184605,1341539968
MRK,219460775834,2528349952
MS,148079466340,1781299968
MSFT,2259331678147,7496869888
NEE,171063440773,1964440064
NFLX,160781203347,443963008
NKE,164152177080,1268760064
NOW,105956000000,200000000
NVDA,603263360000,2492000000
NVO,277020309796,2274200064
NVS,204273507226,2234939904
ORCL,217561766400,2668160000
PBR,100638321203,6522250240
PEP,238679795782,1383250048
PFE,311530999378,5647770112
PG,380798552909,2397070080
PLD,124964929761,740182016
PM,154496473600,1550080000
PYPL,131691592765,1164999936
QCOM,156900948910,1127000064
RIO,131011761619,1620429952
RTX,150487459753,1490269952
RY,152527478845,1416620032
SAP,128786547894,1179580032
SCHW,145334480000,1816000000
SNY,138650648535,2497309952
SPGI,144012738050,347027008
SYK,102043209000,377700000
T,169978702280,7163030016
TD,138962631652,1813660032
TGT,105519159769,462417984
TM,240646133016,1379139968
TMO,239491654320,391192000
TMUS,166505369068,1249289984
TSLA,1092688799516,1033510016
TSM,521276635300,5185800192
TXN,163903135642,922878016
UL,118192646400,2562720000
UNH,505215722346,940899008
UNP,153866842779,628387008
UPS,141320013600,733368000
V,358467476083,1658419968
VZ,221214000000,4200000000
WFC,181487907364,3801590016
WMT,430763656228,2751780096
XOM,360066830861,4233590016
